茗荷,(ドーオン 同音),(ミョーガ 冥加)
バウスラスター,(ソービ 装備),(ハッケン 発見),(ユース 有す),(ソナエル 備える)
ライアン・ロングウェル,(カイコ 解雇),(ネラウ 狙う)
傾城,(トージョー 登場),(カズオーイ 数多い),(モテアソブ 弄ぶ),(トンネル トンネル)
石室,(ハッケン 発見),(ツクル 作る),(カイコー 開口),(コーチク 構築),(カクニン 確認),(ケンシュツ 検出),(ゼンチョー 全長),(シュタイ 主体),(ロシュツ 露出),(モーケル 設ける),(トークツ 盗掘),(ナガイ 長い),(カコーガン 花崗岩),(ソンザイ 存在),(フンキュー 墳丘),(チョーサ 調査),(エンドー 羨道),(チクゾー 築造),(キズク 築く),(ハックツ 発掘),(ヨコアナ 横穴),(ユースル 有する),(サイヨー 採用),(カンゼン 完全),(ミツカル 見つかる),(ユース 有す),(ギョーカイガン 凝灰岩),(ウチノリ 内法),(ソナエル 備える),(トモナウ 伴う),(アカイ 赤い),(カイタイ 解体),(シャガン 砂岩),(アラワレル 現れる),(アンザンガン 安山岩),(オクユキ 奥行),(ヘキガ 壁画),(マイソー 埋葬),(ウメル 埋める),(イトナム 営む),(コフン 古墳),(ミナミガワ 南側),(シュツド 出土),(フタツ 二つ),(チョーダイ 長大),(イヒン 遺品),(ノコル 遺る),(ゾーエイ 造営),(ミトメル 認める),(ニシガワ 西側),(アレル 荒れる),(ツナグ 繋ぐ),(タテアナ 竪穴),(ウガツ 穿つ),(イセツ 移設),(イチク 移築),(マネル 真似る),(ケンカ 県下),(サカン 盛ん),(トージョー 登場),(キナイ 畿内),(モチイル 用いる),(ゲンソン 現存),(ゲンシツ 玄室),(キョーチョー 狭長),(テラス 照らす),(ソクリョー 測量),(ザンソン 残存),(ノコス 残す),(コーセイ 構成),(ダエン 楕円),(ノゾム 望む),(エガク 描く),(フクゲン 復元),(カタチズクル 形作る),(ヘイメン 平面),(ヘイアン 平安),(ヒダリ 左),(コージ 工事),(ホーカイ 崩壊),(タイハ 大破),(オトナ 大人),(オーイ 多い),(タイセキガン 堆積岩),(キホン 基本),(チジョー 地上),(ゲンスン 原寸),(ムキダシ 剥き出し),(ケズル 削る),(サイゲン 再現),(コーカイ 公開),(ゼンメン 全面),(ゼンコク 全国),(イリクチ 入り口),(フタマタ 二股),(シュジク 主軸),(チューシン 中心),(ヘイレツ 並列)
クリトリス,(コスル 擦る),(ソンショー 損傷),(チーサイ 小さい),(ソンザイ 存在),(シゲキ 刺激),(セツジョ 切除)
イーペル,(オトズレル 訪れる),(ミオロス 見下ろす),(キョテン 拠点),(カガク 化学),(チューシン 中心)
ツリガネソウ,(ヨーキ 陽気)
旅団,(ヘンセイ 編成),(ヒキイル 率いる),(キカン 基幹),(トーチャク 到着),(フクム 含む),(カイヘン 改編),(ミナミ 南),(レイカ 隷下),(カイサン 解散),(シダン 師団),(ハイチ 配置),(ソシキ 組織),(ゼンシン 前進),(ゲキハ 撃破),(トーニュー 投入),(コータイ 後退),(マモル 守る),(ハイゾク 配属),(コーゲキ 攻撃),(シエン 支援),(カイメツ 壊滅),(シュリョク 主力),(チューオー 中央),(ハゲシイ 激しい),(シンセツ 新設),(ショゾク 所属),(リクグン 陸軍),(ノゾク 除く),(セッチ 設置),(ヘンニュー 編入),(ハケン 派遣),(サヨク 左翼),(ヒダリテ 左手),(アンテイ 安定),(ゼンセン 善戦),(ジョーリク 上陸),(ユソー 輸送),(ノコス 残す),(シンペン 新編),(センジョー 戦場),(アイショー 愛称),(ソンザイ 存在),(ソーセツ 創設),(ツケル 付ける),(クンレン 訓練),(トツゲキ 突撃),(コーセイ 構成),(ユース 有す),(サイショ 最初),(ゲキタイ 撃退),(ハイシ 廃止),(テンカイ 展開),(タイホー 大砲),(オーキイ 大きい),(ミギテ 右手),(ミギガワ 右側),(サンカ 参加),(ホーイ 包囲),(ジンチ 陣地),(レンケイ 連繋),(オクル 送る),(ツイカ 追加),(ケッセイ 結成),(ホヘイ 歩兵),(ヒガシ 東),(ユースル 有する),(アラタ 新た),(ハイソー 敗走),(キューエン 救援),(タントー 担当),(センセン 戦線),(センリャク 戦略),(タタカウ 戦う),(ゾーエン 増援),(コッキョー 国境),(メイレイ 命令),(アワセル 合わせる),(ハンゲキ 反撃),(クワエル 加える),(ヘイリョク 兵力),(セントー 先頭),(ツクル 作る),(ニンム 任務),(ノセル 乗せる),(チューシン 中心),(ピケット ピケット),(タカイ 高い),(キヘイタイ 騎兵隊),(チュートン 駐屯),(シュト 首都),(ハナレル 離れる),(ゴーブク 降伏),(コーカ 降下),(ナガイ 長い),(ハイテン 配転),(ハイビ 配備),(ハイカ 配下),(ハイス 配す),(ウンヨー 運用),(レンポー 連邦)
リコーダー,(ナメル 舐める),(モチイル 用いる),(ナラウ 習う),(シヨー 使用),(シリゾク 退く),(サカン 盛ん),(ドクリツ 独立),(ソロウ 揃う),(アイス 愛す),(ハジメル 始める),(ワオン 和音),(ツカウ 使う),(ジョージュツ 上述),(ジョーズ 上手),(リレー リレー),(バロック バロック),(スタッカート スタッカート)
アフメト・ジェマル・パシャ,(セットク 説得)
クーポッド,(バイシュー 買収)
インターナショナルジョッキーズチャンピオンシップ,(ハッピー ハッピー)
ヨーゼフ・ハイドン,(サッキョク 作曲),(ユーメイ 有名),(コーフク 幸福)
心字池,(チューシン 中心),(ロージュ 老樹),(カコム 囲む)
みのる,(モエル 萌える)
フリードリヒ・シェリング,(カンネンロン 観念論),(テツガク 哲学)
アイギュプトス,(オーケン 王権),(ムスコ 息子)
シンディア,(ヨーセツ 夭折)
ヴィヴィアン・キャンベル,(カイコ 解雇),(シンニン 新任),(カニュー 加入)
メンブランフィルター,(モチイル 用いる)
イースト・ヴィレッジ,(ニンキ 人気),(チューシン 中心)
テラメント,(テイシュツ 提出)
EUROGROOVE,(シューリョー 終了)
エフゲニー・スヴェトラーノフ,(アゲル 挙げる),(サッキョク 作曲)
アルテュール,(ジシン 自身),(ウマレル 生まれる),(ゴクチュー 獄中),(ショーソク 消息),(シハイ 支配),(シエン 支援),(ホリョ 捕虜),(トラエル 捕らえる),(ヒキワタス 引き渡す)
カプレカ,(コーリン 降臨)
神学,(マナブ 学ぶ),(オシエル 教える),(オサメル 修める),(センコー 専攻),(テンカイ 展開),(ケンキュー 研究),(ベンキョー 勉強),(ヒハン 批判),(テツガク 哲学),(ハンエイ 反映),(コージル 講じる),(カンイ 簡易),(ウケイレル 受け入れる),(タイケイ 体系),(ケイショー 継承),(カクリツ 確立),(テイショー 提唱),(ステル 捨てる),(ケイセイ 形成),(ツヨイ 強い),(ヒテイ 否定),(チューシン 中心),(キリストキョー キリスト教),(ジューシ 重視),(タンジョー 誕生),(セイショ 聖書),(ヒジリ 聖),(ザイニン 罪人),(ハッテン 発展),(モチイル 用いる),(ウミダス 生みだす),(コーチク 構築),(コーセイ 構成),(キョージュ 教授),(ヨーゴ 擁護),(サイヨー 採用),(タントー 担当),(ココロザス 志す),(センモン 専門),(ガクモン 学問),(ソンザイ 存在),(タイトー 台頭),(シンコー 信仰),(デントー 伝統),(ダイベン 代弁),(タカイ 高い),(ヒジョー 非常),(ハナレル 離れる),(シューチュー 集中),(ナガイ 長い),(テキヨー 適用),(シリゾケル 退ける),(ケイシ 軽視),(ショーチョー 象徴),(ウタウ 謳う),(コーギ 講義),(ロンバク 論駁),(ロンジル 論じる),(ヤクブン 訳文),(キジュツ 記述),(ミウシナウ 見失う),(ヨーヤク 要約),(ヒョーゲン 表現),(アラワス 表す),(ジショー 自称),(シゼン 自然),(ハイキョー 背教),(セイレイ 聖霊),(ホンヤク 翻訳),(シュートク 習得),(トーゴー 統合),(ムスビツケル 結びつける),(ショーカイ 紹介),(クーキョ 空虚),(カガク 科学),(フクイン 福音),(シンガク 神学),(カクシン 確信),(ケンサン 研鑽),(ケンシュー 研修),(モクテキ 目的),(サカン 盛ん),(ハッピョー 発表),(ウマレル 生まれる),(リカイ 理解),(リセイ 理性),(リネン 理念),(ネツアイ 熱愛),(カツボー 渇望),(コンドー 混同),(シンク 深紅),(チンモク 沈黙),(モサク 模索),(コンカン 根幹),(ハシラ 柱),(トーホー 東方),(シンヤク 新約),(ダンゲン 断言),(ブンガク 文学),(キョーフ 教父)
皇太后,(ツイゾー 追贈),(ショー 称),(シキョ 死去),(ホーギョ 崩御),(タイコータイコー 太皇太后),(オモネル 阿る),(アイツグ 相次ぐ),(セッショー 摂政),(キョジュー 居住),(ホージル 奉じる),(ケンザイ 健在),(ナクナル 亡くなる),(コーキ 高貴),(ツージョー 通常),(ゾーイ 贈位),(コーワ 講和),(ギョーコー 行幸),(ホームル 葬る),(シヨク 私欲),(コーゴー 皇后),(ソカイ 疎開),(リユー 理由),(ネッシン 熱心),(セイサイ 正妻),(アソン 朝臣),(ホリョ 捕虜),(ムスコ 息子),(シタガエル 従える),(コーケン 後見),(ガイス 害す),(キューチュー 宮中),(ジッシ 実子),(マモル 守る),(テンノー 天皇),(マイソー 埋葬),(ハンタイ 反対),(トーチャク 到着),(チューシン 中心)
カイザードビシ,(ヒキイル 率いる)
マーコス,(キット キット)
フェアバンクス,(ムスブ 結ぶ),(ツーカ 通過),(オトズレル 訪れる),(アラタ 新た),(シュッパツ 出発),(チーム チーム)
破断,(フセグ 防ぐ),(オコス 起こす),(オコル 起こる),(ハッセイ 発生),(ショージル 生じる),(ボーシ 防止),(ツーチ 通知),(オキル 起きる),(ミツカル 見つかる),(アイツグ 相次ぐ),(ソーキ 早期),(モンダイ 問題),(ゲンイン 原因),(シューフク 修復)
合羽,(ヌギステル 脱ぎ捨てる),(ハオル 羽織る),(キセル 着せる),(ハツメイ 発明),(ヒツヨー 必要),(アンカ 安価),(タイリョー 大量),(オハツ お初)
クリスチャン・フィッティパルディ,(キヨー 起用),(オサエル 押さえる),(ムスコ 息子),(フルタイム フルタイム),(チャンピオン チャンピオン)
テルストラ・ドーム,(ツカエル 使える)
銘仙,(テンジ 展示),(チューシン 中心)
マユ・アスカ,(ケイタイ 携帯)
山里,(バングミ 番組),(ハシル 走る),(シャザイ 謝罪),(ヨミアゲル 読み上げる),(ウッタエル 訴える),(ジシン 自身),(コーアン 考案),(ゼッキョー 絶叫),(アイカタ 相方),(オレル 折れる),(カンジル 感じる),(ワルイ 悪い),(タズネル 尋ねる),(シンサ 審査),(カンゼン 完全),(サイゲン 再現),(ツカウ 使う),(メイン メイン),(ガチガチ ガチガチ)
イスマイル・キルイ,(オトート 弟)
シュチェチン,(ジタク 自宅),(ムスブ 結ぶ),(ナガレル 流れる),(スイサン 水産),(ホンキョチ 本拠地),(キョテン 拠点)
ゲルンハウゼン,(トール 通る),(カコム 囲む)
アンバーフィルムワークス,(セツリツ 設立)
メールアドレス,(トーロク 登録),(リヨー 利用),(ヒツヨー 必要),(コーカイ 公開),(ニューリョク 入力),(コーカン 交換),(キサイ 記載),(ヘンコー 変更),(シュトク 取得),(シヨー 使用),(モーケル 設ける),(キニュー 記入),(シルス 記す),(ヨーイ 用意),(モチイル 用いる),(ケイサイ 掲載),(ワリアテル 割り当てる),(ツカウ 使う),(エラブ 選ぶ),(アヤマル 誤る),(セッテイ 設定),(フクスー 複数),(テイキョー 提供),(シテイ 指定),(チューシュツ 抽出),(ヒキツグ 引き継ぐ),(フクム 含む),(ツカエル 使える),(タッチ タッチ),(ヒトツ １つ),(ダイザイ 題材),(デンシ 電子),(エツラン 閲覧),(カンレンズケル 関連づける),(カイセツ 開設),(カイジ 開示),(レンラク 連絡),(ソーシン 送信),(ツイカ 追加),(セキガイセン 赤外線),(ザイダン 財団),(キジュツ 記述),(フクザツ 複雑),(ヒョーキ 表記),(ヒョージ 表示),(エイスージ 英数字),(キキダス 聞き出す),(フンシツ 紛失),(カンタン 簡単),(カタミ 筐),(ヒトク 秘匿),(シメス 示す),(カクニン 確認),(ソーゴ 相互),(ヌスム 盗む),(ハツバイ 発売),(バングミ 番組),(カクトク 獲得),(ムダン 無断),(ムリョー 無料),(ジュンビ 準備),(ワタス 渡す),(ショーメツ 消滅),(キメル 決める),(ケンサク 検索),(ホンモノ 本物),(ユーコー 有効),(ユースル 有する),(カキコメル 書き込める),(カキコム 書き込む),(メイキ 明記),(アカス 明かす),(アラタ 新た),(オシエル 教える),(ヨースル 擁する),(ヌキダス 抜き出す),(ウチコム 打ち込む),(ショユー 所有),(シンチョー 慎重),(ヒキツゲル 引き継げる),(テントー 店頭),(タズネル 尋ねる),(テイギ 定義),(タイリョー 大量),(ガイコク 外国),(カワル 変わる),(キホン 基本),(ザイガク 在学),(ドーイツ 同一),(カヘン 可変),(ジュシン 受信),(シューシュー 収集),(カヒツ 加筆),(クワエル 加える),(ワリフル 割り振る),(サクジョ 削除),(ワカレル 分かれる),(ワカル 分かる),(カネル 兼ねる),(イレカエル 入れ替える)
カレドン,(ホーゲキ 砲撃)
モダンジャイブ,(フリー フリー)
ミケーレ・ピロ,(ジシン 自身),(ツズク 続く),(ハイル 入る)
マルセル・シュヴァリエ,(ウケツグ 受け継ぐ)
サーニャ・リチャーズ,(シュツジョー 出場)
アストリュック,(ホンカク 本格)
アプライドドラマ,(カンキャク 観客)
ムーチー,(タベル 食べる),(ツツム 包む)
テディー・ライリー,(チューシン 中心),(オンガク 音楽),(ムカエル 迎える)
エレクトレナイ,(アイスホッケー アイスホッケー)
肉類,(ツカウ 使う),(シヨー 使用),(キンゾク 金属),(ブタニク 豚肉),(ヒツジ 羊),(モチイル 用いる),(トーガラシ 唐辛子),(ノミコム 飲み込む),(タベル 食べる),(ショクスル 食する),(ハイキュー 配給),(テキリョー 適量),(ツージョー 通常),(ユソー 輸送),(ユデル 茹でる),(シボー 脂肪),(カンズメ 缶詰),(カクトク 獲得),(イタメル 炒める),(ゲンショー 減少),(アブラ 油),(ヤワラカイ 柔らかい),(サイゴ 最後),(ニチジョー 日常),(トーサイ 搭載),(スクナイ 少ない),(フエル 増える),(フクム 含む),(ウケツケル 受け付ける),(ゲンイン 原因),(ナンタン 南端),(カネツ 加熱),(キリワケル 切り分ける),(イレル 入れる),(ホゾン 保存),(ロースト ロースト),(ニシン ニシン),(ナイフ ナイフ),(シンボル シンボル)
リダウツチョイス,(ジュタイ 受胎)
イクター,(ジュヨ 授与),(アタエル 与える),(ボッシュー 没収),(サズケル 授ける),(セシュー 世襲)
ショルダーストラップ,(ツカウ 使う)
オートウェーブ,(セツリツ 設立)
リベラルアーツカレッジ,(ノコル 残る)
ヴードゥー,(ダンヤク 弾薬)
アリス・マーガトロイド,(タントー 担当)
ハタネズミ,(スクナイ 少ない),(フクム 含む)
ウスマン・ダン・フォディオ,(ジハード ジハード)
ジュリエット・ビノシュ,(エンジル 演じる)
宴会,(ヒラク 開く),(モヨオス 催す),(オコナウ 行う),(ハジマル 始まる),(タノシム 楽しむ),(ハジメル 始める),(オワル 終わる),(コノム 好む),(ツズケル 続ける),(キンシ 禁止),(タノシメル 楽しめる),(セイフ 政府),(キカク 企画),(ダイザイ 題材),(ヒナン 非難),(シズカ 静か),(インボー 陰謀),(ノゾク 除く),(カイサイ 開催),(ツージョー 通常),(ゴーセイ 豪勢),(モーケル 設ける),(クリカエス 繰り返す),(クリヒロゲル 繰り広げる),(ツズク 続く),(ケイゾク 継続),(ナガメル 眺める),(モリアゲル 盛り上げる),(モリアガル 盛り上がる),(ヨーイ 用意),(ブレイコー 無礼講),(メチャクチャ 滅茶苦茶),(ジュンビ 準備),(チューイ 注意),(ギョーム 業務),(リョーテイ 料亭),(カズスクナイ 数少ない),(カンコー 敢行),(フッカツ 復活),(セキジ 席次),(ジッシ 実施),(ダイスキ 大好き),(オーイ 多い),(ガイショク 外食),(トリヤメル 取りやめる),(カネル 兼ねる),(シキル 仕切る),(リョーコク 両国),(ボイコット ボイコット),(オヒラキ お開き)
アビジョ,(サポート サポート)
アビジン,(ハカイ 破壊),(エンキ 塩基)
エスコラ・メダル,(ソーセツ 創設)
パスティーシュ,(ゲンサク 原作),(モリコム 盛り込む),(ハッピョー 発表),(トクイ 得意),(フクム 含む),(ガッサク 合作),(サッキョク 作曲),(パロディ パロディ)
婼羌,(ユーボクミン 遊牧民)
いかり,(オロス 下ろす),(テツセイ 鉄製),(コワス 壊す)
ペリクリュメノス,(クワワル 加わる)
進行,(ツトメル 務める),(タントー 担当),(オコナウ 行う),(ハヤイ 速い),(サマタゲル 妨げる),(オクラセル 遅らせる),(トメル 止める),(オソイ 遅い),(オサエル 抑える),(テイシ 停止),(オクレル 遅れる),(フセグ 防ぐ),(トマル 止まる),(フカノー 不可能),(クイトメル 食い止める),(ソガイ 阻害),(ボーガイ 妨害),(カノー 可能),(ヨクセイ 抑制),(コンナン 困難),(イチジルシイ 著しい),(シメス 示す),(トクチョー 特徴),(キメル 決める),(デキル 出来る),(ウナガス 促す),(ヒジョー 非常),(ハバム 阻む),(カンガエル 考える),(キホン 基本),(カイシ 開始),(ススム 進む),(ツカサドル 司る),(タスケル 助ける),(ソクシン 促進),(チューダン 中断),(キョカ 許可),(アラワス 表す),(カンマン 緩慢),(カンリ 管理),(モチイル 用いる),(ユーリ 有利),(キューソク 急速),(トリシキル 取り仕切る),(ターン ターン),(スムーズ スムーズ),(ケンチョ 顕著),(ムズカシイ 難しい),(ヒドイ 酷い),(ススメル 進める),(クリカエス 繰り返す),(ユルヤカ 緩やか),(ツズケル 続ける),(ハゲシイ 激しい),(ニナウ 担う),(ヒツヨー 必要),(インヨー 引用),(カンゼン 完全),(ヘンカ 変化),(カエル 変える),(ハカル 図る),(ツクル 創る),(セイギョ 制御),(エンカツ 円滑),(ジャマ 邪魔),(チエン 遅延),(ミトメル 認める),(キロク 記録),(ミセル 見せる),(カンジョ 緩徐),(メダツ 目立つ),(トドコール 滞る),(ケイセイ 形勢),(ヨーイ 容易),(ハジメル 始める),(オーキイ 大きい),(キチョー 基調),(ゼンサク 前作),(キョーユー 共有),(マカセル 任せる),(マカス 任す),(ダイコー 代行),(セイシ 静止),(ボーシ 防止),(ジューヨー 重要),(カサネル 重ねる),(チタイ 遅滞),(オクラス 遅らす),(オコル 起こる),(ギチョー 議長),(ユルス 許す),(ホジョ 補助),(オコナエル 行える),(ツズク 続く),(カンタン 簡単),(ケイバ 競馬),(カクニン 確認),(カントク 監督),(モリアゲル 盛り上げる),(リユー 理由)
ベンヤミン・ネタニヤフ,(シュショー 首相),(カクトク 獲得),(ゴクチュー 獄中),(サイショ 最初),(ヒヨリミ 日和見),(セイケン 政権),(スイキョ 推挙)
マカオ・パタカ,(ホンコンドル 香港ドル),(ハッコー 発行),(シヨー 使用)
学業,(オエル 終える),(チューダン 中断),(ツズケル 続ける),(ユーセン 優先),(オサメル 修める),(ダンネン 断念),(シューリョー 修了),(ホーキ 放棄),(オロカ 疎か),(ユーシュー 優秀),(ケイゾク 継続),(リョーリツ 両立),(サイカイ 再開),(リョー 了),(ハナレル 離れる),(オコナウ 行う),(トメル 止める),(ステル 捨てる),(ジョージュ 成就),(オコタル 怠る),(カンリョー 完了),(ハジメル 始める),(チュート 中途),(チューシ 中止),(アキラメル 諦める),(オワル 終わる),(リユー 理由),(ハタス 果たす),(ホーリダス 放り出す),(オモウ 思う),(カンセイ 完成),(カンゼン 完全),(キラウ 嫌う),(ソツギョー 卒業),(カエリミル 顧みる),(ジュンチョー 順調),(カイシ 開始),(ジューシ 重視),(カサネル 重ねる),(エラブ 選ぶ),(タッセイ 達成),(ススメル 進める),(ススム 進む),(オクレル 送れる),(タイクツ 退屈),(オイツク 追いつく),(ニガテ 苦手),(シメククル 締めくくる),(ケンサン 研鑽),(コンラン 混乱),(ホーテキ 放擲),(タントー 担当),(オサエル 押さえる),(ナゲダス 投げ出す),(セイコー 成功),(ナリタツ 成り立つ),(オモワシクナイ 思わしくない),(キョーコ 強固),(オサナイ 幼い),(タクミ 巧み),(サマタゲル 妨げる),(ウバウ 奪う),(テンサイ 天才),(コンナン 困難),(ウケル 受ける),(タスケル 助ける),(キリアゲル 切り上げる),(デキル 出来る),(テイシ 停止),(ヤスム 休む),(シアゲル 仕上げる),(フヨー 不要),(フシン 不振),(イチダンラク 一段落)
忍術,(ツカウ 使う),(マナブ 学ぶ),(ツカエル 使える),(コーシ 行使),(シュートク 習得),(キワメル 極める),(アツカウ 扱う),(セントー 戦闘),(オーヨー 応用),(ジッコー 実行),(ウケツグ 受け継ぐ),(シヨー 使用),(デンショー 伝承),(エトク 会得),(カイハツ 開発),(コエル 超える),(セツメイ 説明),(クワシイ 詳しい),(オコナウ 行う),(ナラウ 習う),(ケイショー 継承),(タエル 絶える),(クミアワセル 組み合わせる),(ショーカイ 紹介),(シメス 示す),(ソーサイ 相殺),(ハッピョー 発表),(ハツドー 発動),(モチイル 用いる),(ドクジ 独自),(イカス 活かす),(ブゲイジューハッパン 武芸十八般),(キカイ 機械),(キョージュ 教授),(オソワル 教わる),(オシエル 教える),(カケル 掛ける),(シドー 指導),(ヒロー 披露),(アツカエル 扱える),(トクイ 得意),(ツヨイ 強い),(タクミ 巧み),(ミッキョー 密教),(ソンザイ 存在),(テング 天狗),(テンジョーテンゲ 天上天下),(カワル 変わる),(フクム 含む),(カクメン 各面),(サンコー 参考),(タンイ 単位),(ハイル 入る),(タイケン 体験),(ツタエル 伝える),(シュタイ 主体),(ヨノナカ 世の中),(イッカン 一貫),(イッシュ 一種),(ポーズ ポーズ),(ボーナス ボーナス),(ベース ベース)
ジョウト,(オトズレル 訪れる)
ウィクトル,(ギャク 逆),(ヨーセイ 要請),(オレル 折れる)
トヨウケビメ,(マツル 祀る)
ティティ,(オワル 終わる),(シューリョー 終了),(ハジマル 始まる),(カイシ 開始)
休職,(メイジル 命じる),(ヨギナイ 余儀ない),(ハッピョー 発表),(モーシデル 申し出る),(ネガイデル 願い出る),(ヘンジョー 返上),(クリカエス 繰り返す),(ハツレイ 発令),(モンブ 文部),(キボー 希望),(イレル 容れる),(メイズル 命ずる),(シュトク 取得)
